Wavelength,Transmittance_material,Transmittance_atm
4.5803,3.13E-05,0.688846
4.5965,0.001250283,0.792686
4.6129,0.003069752,0.843043
4.6294,5.70E-05,0.87639
4.646,1.95E-06,0.870324
4.6627,4.41E-07,0.891116
4.6795,9.28E-08,0.823554
4.6965,3.12E-09,0.793124
4.7136,2.85E-09,0.702249
4.7308,1.93E-07,0.800208
4.7481,1.37E-05,0.747815
4.7655,5.54E-06,0.773461
4.7831,4.65E-07,0.704118
4.8008,3.58E-07,0.820069
4.8187,2.45E-08,0.755757
4.8367,1.71E-09,0.758448
4.8548,2.15E-09,0.664324
4.873,8.48E-10,0.841105
4.8914,1.35E-09,0.782653
4.91,4.27E-08,0.898836
4.9286,2.83E-06,0.958755
4.9474,2.51E-05,0.914233
4.9664,3.29E-05,0.95337
4.9855,1.19E-05,0.952104
5.0047,3.75E-08,0.805724
5.0241,3.46E-11,0.783214
5.0437,2.58E-12,0.965664
5.0634,1.58E-12,0.931798
5.0832,3.43E-13,0.244116
5.1033,5.62E-14,0.92155
5.1234,5.36E-13,0.948149
5.1438,2.83E-10,0.538523
5.1643,1.48E-08,0.922954
5.1849,3.53E-08,0.931801
5.2057,3.09E-07,0.568803
5.2267,5.43E-07,0.803699
5.2479,1.28E-08,0.781735
5.2692,8.34E-09,0.84493
5.2907,3.93E-07,0.175367
5.3124,8.48E-07,0.907294
5.3343,4.76E-07,0.877123
5.3563,1.26E-06,0.0274741
5.3785,1.01E-06,0.557226
5.4009,2.83E-07,0.742951
5.4235,4.99E-09,0.00754611
5.4463,1.82E-10,0.352826
5.4693,1.79E-11,0.0694514
5.4925,5.23E-13,0.719537
5.5159,3.75E-15,0.493026
5.5394,2.84E-16,0.411455
5.5632,9.13E-17,0.2291
5.5872,1.01E-17,0.140867
5.6114,1.33E-19,0.231028
5.6358,4.89E-23,0.0118928
5.6604,5.45E-34,0.202432
5.6852,2.18E-66,0.154298
5.7103,5.03E-249,0.00146468
5.7355,0,0.00228911
5.761,0,0.00268786
5.7867,0,0.209121
5.8127,0,0.047041
5.8389,1.50E-266,0.0351196
5.8653,1.80E-96,0.000021741
5.8919,9.54E-56,4.08E-07
5.9188,1.33E-43,0.00139813
5.946,1.60E-36,0.00123522
5.9734,2.28E-27,0.00155164
6.0011,1.37E-23,0.0527023
6.029,3.48E-23,0.081347615
