L,AG2,AG4,AG6,AG8,AG12,atm
3.14E-06,0.770354983,0.6404292,0.4571647,0.3547869,0.2381752,7.09E-01
3.15E-06,0.763327115,0.6310507,0.4447665,0.3339436,0.2203063,9.23E-01
3.16E-06,0.749869251,0.6142048,0.4216544,0.3018064,0.1947522,9.46E-01
3.17E-06,0.733256484,0.5936013,0.3942464,0.2669653,0.1673557,9.80E-01
3.18E-06,0.71013857,0.5657015,0.3581206,0.2245397,0.1358455,9.46E-01
3.19E-06,0.678552573,0.5298305,0.3124284,0.1757085,0.1022195,8.19E-01
3.20E-06,0.642301043,0.4903289,0.2649817,0.1303812,0.07291381,6.48E-01
3.21E-06,0.632768117,0.4807635,0.2533575,0.1189413,0.06645365,4.80E-01
3.22E-06,0.633520145,0.4816889,0.2542619,0.1196057,0.06708169,6.81E-01
3.23E-06,0.633203553,0.4815464,0.2538809,0.1191727,0.06641528,4.22E-01
3.24E-06,0.627836621,0.4763823,0.2474799,0.1142198,0.06366751,6.45E-01
3.25E-06,0.619957507,0.4679756,0.238279,0.1049024,0.05848324,5.66E-01
3.26E-06,0.604711517,0.4532176,0.2211285,0.09145337,0.05108566,5.64E-01
3.27E-06,0.600064623,0.4486631,0.2160698,0.087219,0.04889446,5.58E-01
3.28E-06,0.602992825,0.4511258,0.2192484,0.08923979,0.04997439,5.98E-01
3.29E-06,0.603411126,0.4511731,0.219705,0.08910493,0.0498795,8.80E-01
3.30E-06,0.593064208,0.4409982,0.2085956,0.08007463,0.04529582,5.79E-01
3.31E-06,0.561551501,0.4124974,0.1770797,0.05901917,0.03443174,7.36E-01
3.32E-06,0.496498875,0.3593373,0.1223925,0.02669331,0.02029668,3.87E-01
3.33E-06,0.414989345,0.3003081,0.07146787,0.005691504,0.01231593,8.23E-01
3.34E-06,0.359053998,0.2629795,0.04628916,0.000345961,0.01033962,7.87E-01
3.35E-06,0.346855535,0.2547421,0.04172976,-2.57E-05,0.00985657,9.26E-01
3.36E-06,0.343738021,0.2535619,0.04061465,-4.30E-05,0.009597728,8.69E-01
3.37E-06,0.343404465,0.253679,0.04049653,0.000319709,0.009475041,7.60E-01
3.38E-06,0.347014608,0.2549645,0.0417872,-7.73E-05,0.009932687,6.65E-01
3.39E-06,0.354814821,0.2607708,0.0446689,0.000115335,0.009937617,8.51E-01
3.40E-06,0.373460258,0.2749207,0.05208746,0.001610557,0.01038741,9.75E-01
3.41E-06,0.385931001,0.2859886,0.05748162,0.003268305,0.01135782,9.11E-01
3.42E-06,0.369887158,0.2733502,0.05060667,0.001323103,0.01050682,9.81E-01
3.43E-06,0.351269026,0.2578794,0.04334306,0.000415202,0.009634497,8.39E-01
3.44E-06,0.362232576,0.266644,0.04752942,0.000722874,0.01023062,8.18E-01
3.45E-06,0.418963715,0.3067685,0.07354095,0.008938088,0.01360974,9.46E-01
3.46E-06,0.487925423,0.3582673,0.116161,0.03002144,0.02157608,9.87E-01
3.47E-06,0.527188626,0.3909271,0.1465204,0.04947069,0.02971771,9.79E-01
3.48E-06,0.543202506,0.4070077,0.1602822,0.06161501,0.03484749,9.53E-01
3.49E-06,0.560394068,0.4240665,0.175987,0.07508968,0.0414618,9.47E-01
3.50E-06,0.568558067,0.4337926,0.1837911,0.08324171,0.04533772,9.67E-01
3.51E-06,0.55001719,0.4089334,0.1663906,0.06317834,0.03662305,9.69E-01
3.52E-06,0.555928592,0.4096882,0.1718134,0.05948617,0.03666131,9.84E-01
3.53E-06,0.629193475,0.47922,0.2490879,0.1130572,0.06484201,9.70E-01
3.54E-06,0.640906593,0.4908044,0.2632596,0.1215645,0.06900787,9.20E-01
3.55E-06,0.629092083,0.4783176,0.2489675,0.1088235,0.0611352,9.61E-01
3.56E-06,0.616528728,0.4652468,0.2343473,0.09679214,0.05473173,9.60E-01
3.57E-06,0.642578304,0.4913138,0.265325,0.1223299,0.07017865,9.42E-01
3.58E-06,0.73734488,0.597674,0.4008778,0.2473919,0.1579881,9.51E-01
3.59E-06,0.809806589,0.6926274,0.5310604,0.3849777,0.2732945,9.54E-01
3.60E-06,0.851747133,0.7534031,0.6179197,0.4859617,0.3700119,9.68E-01
3.61E-06,0.877101041,0.7914291,0.6747593,0.5553059,0.4413009,9.60E-01
3.62E-06,0.893699035,0.817397,0.7137956,0.6044616,0.4944913,9.77E-01
3.63E-06,0.903569936,0.8332205,0.7377094,0.6352399,0.5292199,9.65E-01
3.64E-06,0.91103754,0.8450654,0.7561515,0.659106,0.5565775,9.79E-01
3.65E-06,0.915356963,0.8522108,0.7669578,0.672822,0.5727381,9.61E-01
